City,Crime Description,Victim Gender,Weapon Used,Latitude,Longitude,Year
Delhi,KIDNAPPING,F,Unknown,28.66,77.23,2020
Meerut,SEXUAL ASSAULT,M,Other,28.9845,77.7064,2020
Mumbai,CYBERCRIME,M,Firearm,19.0758,72.8775,2020
Jaipur,KIDNAPPING,F,Unknown,26.915,75.82,2020
Lucknow,ROBBERY,M,Blunt Object,26.847,80.947,2020
Meerut,VEHICLE - STOLEN,F,Other,28.9845,77.7064,2020
Delhi,ILLEGAL POSSESSION,F,Poison,28.66,77.23,2020
Chennai,ASSAULT,M,Blunt Object,13.0825,80.275,2020
Nagpur,FIREARM OFFENSE,F,Knife,21.1497,79.0806,2020
Bangalore,IDENTITY THEFT,F,Explosives,12.9791,77.5913,2020
Ghaziabad,ASSAULT,F,Poison,28.6667,77.4167,2020
Lucknow,SEXUAL ASSAULT,F,Unknown,26.847,80.947,2020
Bhopal,ROBBERY,F,Blunt Object,23.2547,77.4029,2020
Bangalore,EXTORTION,M,Other,12.9791,77.5913,2020
Ghaziabad,DRUG OFFENSE,F,Unknown,28.6667,77.4167,2020
Kanpur,TRAFFIC VIOLATION,F,Firearm,26.4725,80.3311,2020
Delhi,HOMICIDE,F,Poison,28.66,77.23,2020
Lucknow,VEHICLE - STOLEN,F,Unknown,26.847,80.947,2020
Pune,CYBERCRIME,M,Blunt Object,18.5211,73.8553,2020
Bangalore,ILLEGAL POSSESSION,M,Poison,12.9791,77.5913,2020
Delhi,SEXUAL ASSAULT,M,Explosives,28.66,77.23,2020
Kolkata,IDENTITY THEFT,F,Firearm,22.5675,88.37,2020
Kanpur,FRAUD,M,Poison,26.4725,80.3311,2020
Nagpur,PUBLIC INTOXICATION,M,Knife,21.1497,79.0806,2020
Mumbai,TRAFFIC VIOLATION,F,Knife,19.0758,72.8775,2020
Mumbai,VEHICLE - STOLEN,F,Blunt Object,19.0758,72.8775,2020
Nagpur,VANDALISM,F,Other,21.1497,79.0806,2020
Hyderabad,EXTORTION,F,Blunt Object,17.3617,78.4747,2020
Jaipur,KIDNAPPING,F,Explosives,26.915,75.82,2020
Faridabad,FIREARM OFFENSE,F,Explosives,28.4089,77.3178,2020
Surat,ARSON,M,Other,21.205,72.84,2020
Mumbai,CYBERCRIME,F,Explosives,19.0758,72.8775,2020
Jaipur,DRUG OFFENSE,F,Other,26.915,75.82,2020
Pune,FRAUD,F,Other,18.5211,73.8553,2020
Ahmedabad,BURGLARY,F,Unknown,23.0219,72.5797,2020
Hyderabad,SEXUAL ASSAULT,F,Knife,17.3617,78.4747,2020
Mumbai,PUBLIC INTOXICATION,F,Unknown,19.0758,72.8775,2020
Jaipur,VEHICLE - STOLEN,F,Poison,26.915,75.82,2020
Mumbai,ARSON,M,Poison,19.0758,72.8775,2020
Kolkata,ILLEGAL POSSESSION,F,Unknown,22.5675,88.37,2020
Delhi,FRAUD,M,Unknown,28.66,77.23,2020
Delhi,CYBERCRIME,F,Unknown,28.66,77.23,2020
Bhopal,KIDNAPPING,F,Poison,23.2547,77.4029,2020
Bangalore,TRAFFIC VIOLATION,F,Knife,12.9791,77.5913,2020
Agra,IDENTITY THEFT,F,Unknown,27.1767,78.0081,2020
Ghaziabad,ROBBERY,F,Explosives,28.6667,77.4167,2020
Kalyan,ASSAULT,M,Poison,19.2437,73.1355,2020
Jaipur,ROBBERY,F,Explosives,26.915,75.82,2020
Delhi,VANDALISM,M,Unknown,28.66,77.23,2020
Patna,VANDALISM,F,Firearm,25.61,85.1414,2020
Chennai,ASSAULT,F,Blunt Object,13.0825,80.275,2020
Bangalore,FIREARM OFFENSE,F,Poison,12.9791,77.5913,2020
Ghaziabad,ROBBERY,M,Blunt Object,28.6667,77.4167,2020
Kolkata,ASSAULT,M,Knife,22.5675,88.37,2020
Indore,VEHICLE - STOLEN,M,Poison,22.7196,75.8577,2020
Delhi,FIREARM OFFENSE,M,Explosives,28.66,77.23,2020
Ahmedabad,VEHICLE - STOLEN,M,Explosives,23.0219,72.5797,2020
Hyderabad,EXTORTION,M,Other,17.3617,78.4747,2020
Lucknow,ARSON,F,Knife,26.847,80.947,2020
Mumbai,FIREARM OFFENSE,F,Other,19.0758,72.8775,2020
Kanpur,FRAUD,F,Explosives,26.4725,80.3311,2020
Lucknow,ILLEGAL POSSESSION,F,Explosives,26.847,80.947,2020
Visakhapatnam,EXTORTION,F,Blunt Object,17.6939,83.2922,2020
Ahmedabad,EXTORTION,M,Unknown,23.0219,72.5797,2020
Bangalore,KIDNAPPING,F,Unknown,12.9791,77.5913,2020
Jaipur,FRAUD,F,Poison,26.915,75.82,2020
Nashik,COUNTERFEITING,F,Unknown,19.9975,73.7898,2020
Surat,ROBBERY,F,Firearm,21.205,72.84,2020
Ludhiana,KIDNAPPING,F,Unknown,30.912,75.8538,2020
Ahmedabad,IDENTITY THEFT,F,Knife,23.0219,72.5797,2020
Kanpur,ILLEGAL POSSESSION,F,Knife,26.4725,80.3311,2020
Ahmedabad,PUBLIC INTOXICATION,M,Other,23.0219,72.5797,2020
Hyderabad,EXTORTION,F,Other,17.3617,78.4747,2020
Delhi,DRUG OFFENSE,F,Blunt Object,28.66,77.23,2020
Bangalore,HOMICIDE,F,Blunt Object,12.9791,77.5913,2020
Mumbai,SHOPLIFTING,F,Explosives,19.0758,72.8775,2020
Hyderabad,KIDNAPPING,M,Poison,17.3617,78.4747,2020
Visakhapatnam,CYBERCRIME,F,Other,17.6939,83.2922,2020
Mumbai,VEHICLE - STOLEN,F,Poison,19.0758,72.8775,2020
Kanpur,KIDNAPPING,F,Knife,26.4725,80.3311,2020
Patna,ASSAULT,F,Poison,25.61,85.1414,2020
Mumbai,HOMICIDE,M,Unknown,19.0758,72.8775,2020
Mumbai,ROBBERY,M,Other,19.0758,72.8775,2020
Bangalore,CYBERCRIME,F,Blunt Object,12.9791,77.5913,2020
Pune,VANDALISM,F,Knife,18.5211,73.8553,2020
Meerut,ROBBERY,F,Blunt Object,28.9845,77.7064,2020
Chennai,COUNTERFEITING,M,Poison,13.0825,80.275,2020
Mumbai,ASSAULT,F,Poison,19.0758,72.8775,2020
Ahmedabad,FIREARM OFFENSE,M,Explosives,23.0219,72.5797,2020
Kolkata,VEHICLE - STOLEN,F,Knife,22.5675,88.37,2020
Mumbai,COUNTERFEITING,F,Poison,19.0758,72.8775,2020
Pune,DOMESTIC VIOLENCE,M,Knife,18.5211,73.8553,2020
Kanpur,COUNTERFEITING,F,Explosives,26.4725,80.3311,2020
Ahmedabad,CYBERCRIME,M,Other,23.0219,72.5797,2020
Kolkata,HOMICIDE,M,Knife,22.5675,88.37,2020
Chennai,DOMESTIC VIOLENCE,F,Unknown,13.0825,80.275,2020
Bhopal,HOMICIDE,M,Knife,23.2547,77.4029,2020
Kanpur,ILLEGAL POSSESSION,F,Knife,26.4725,80.3311,2020
Bangalore,FIREARM OFFENSE,M,Blunt Object,12.9791,77.5913,2020
Chennai,KIDNAPPING,F,Other,13.0825,80.275,2020
Mumbai,KIDNAPPING,F,Firearm,19.0758,72.8775,2020
Meerut,FIREARM OFFENSE,F,Other,28.9845,77.7064,2020
Patna,TRAFFIC VIOLATION,M,Other,25.61,85.1414,2020
Pune,ROBBERY,M,Explosives,18.5211,73.8553,2020
Delhi,DOMESTIC VIOLENCE,F,Poison,28.66,77.23,2020
Mumbai,ASSAULT,M,Blunt Object,19.0758,72.8775,2020
Bangalore,SHOPLIFTING,M,Explosives,12.9791,77.5913,2020
Ghaziabad,FIREARM OFFENSE,F,Firearm,28.6667,77.4167,2020
Delhi,DOMESTIC VIOLENCE,F,Unknown,28.66,77.23,2020
Jaipur,BURGLARY,F,Knife,26.915,75.82,2020
Bangalore,DRUG OFFENSE,F,Unknown,12.9791,77.5913,2020
Delhi,SEXUAL ASSAULT,F,Firearm,28.66,77.23,2020
Mumbai,SHOPLIFTING,F,Knife,19.0758,72.8775,2020
Vasai,EXTORTION,M,Other,19.3931,72.8617,2020
Mumbai,COUNTERFEITING,F,Other,19.0758,72.8775,2020
Mumbai,IDENTITY THEFT,M,Blunt Object,19.0758,72.8775,2020
Pune,ARSON,M,Unknown,18.5211,73.8553,2020
Kolkata,FRAUD,F,Blunt Object,22.5675,88.37,2020
Mumbai,SEXUAL ASSAULT,M,Unknown,19.0758,72.8775,2020
Ludhiana,ILLEGAL POSSESSION,F,Other,30.912,75.8538,2020
Pune,ASSAULT,F,Knife,18.5211,73.8553,2020
Pune,BURGLARY,M,Other,18.5211,73.8553,2020
Jaipur,IDENTITY THEFT,F,Knife,26.915,75.82,2020
Kolkata,DOMESTIC VIOLENCE,F,Knife,22.5675,88.37,2020
Bangalore,ASSAULT,F,Blunt Object,12.9791,77.5913,2020
Hyderabad,DOMESTIC VIOLENCE,F,Unknown,17.3617,78.4747,2020
Surat,SHOPLIFTING,M,Knife,21.205,72.84,2020
Mumbai,FRAUD,M,Other,19.0758,72.8775,2020
Hyderabad,FIREARM OFFENSE,F,Blunt Object,17.3617,78.4747,2020
Pune,COUNTERFEITING,F,Other,18.5211,73.8553,2020
Delhi,ARSON,M,Knife,28.66,77.23,2020
Mumbai,FRAUD,F,Blunt Object,19.0758,72.8775,2020
Pune,KIDNAPPING,M,Poison,18.5211,73.8553,2020
Kolkata,ARSON,M,Poison,22.5675,88.37,2020
Hyderabad,PUBLIC INTOXICATION,M,Firearm,17.3617,78.4747,2020
Delhi,IDENTITY THEFT,F,Explosives,28.66,77.23,2020
Hyderabad,HOMICIDE,F,Unknown,17.3617,78.4747,2020
Hyderabad,HOMICIDE,M,Firearm,17.3617,78.4747,2020
Bangalore,ILLEGAL POSSESSION,F,Unknown,12.9791,77.5913,2020
Ludhiana,KIDNAPPING,F,Poison,30.912,75.8538,2020
Delhi,HOMICIDE,F,Unknown,28.66,77.23,2020
Kanpur,COUNTERFEITING,M,Firearm,26.4725,80.3311,2020
Surat,VEHICLE - STOLEN,M,Unknown,21.205,72.84,2020
Agra,SHOPLIFTING,M,Other,27.1767,78.0081,2020
Kanpur,VANDALISM,F,Unknown,26.4725,80.3311,2020
Bhopal,KIDNAPPING,F,Firearm,23.2547,77.4029,2020
Bangalore,CYBERCRIME,M,Firearm,12.9791,77.5913,2020
Delhi,COUNTERFEITING,M,Blunt Object,28.66,77.23,2020
Delhi,FRAUD,F,Firearm,28.66,77.23,2020
Pune,HOMICIDE,F,Blunt Object,18.5211,73.8553,2020
Mumbai,FIREARM OFFENSE,F,Blunt Object,19.0758,72.8775,2020
Agra,FIREARM OFFENSE,M,Explosives,27.1767,78.0081,2020
Kolkata,ARSON,M,Poison,22.5675,88.37,2020
Delhi,KIDNAPPING,F,Other,28.66,77.23,2020
Bangalore,ROBBERY,F,Unknown,12.9791,77.5913,2020
Jaipur,COUNTERFEITING,F,Firearm,26.915,75.82,2020
Hyderabad,SEXUAL ASSAULT,M,Firearm,17.3617,78.4747,2020
Jaipur,PUBLIC INTOXICATION,M,Unknown,26.915,75.82,2020
Chennai,BURGLARY,F,Blunt Object,13.0825,80.275,2020
Delhi,FIREARM OFFENSE,M,Explosives,28.66,77.23,2020
Pune,PUBLIC INTOXICATION,M,Poison,18.5211,73.8553,2020
Ahmedabad,FRAUD,F,Unknown,23.0219,72.5797,2020
Kanpur,VEHICLE - STOLEN,F,Other,26.4725,80.3311,2020
Kanpur,BURGLARY,F,Unknown,26.4725,80.3311,2020
Delhi,DOMESTIC VIOLENCE,M,Unknown,28.66,77.23,2020
Nashik,KIDNAPPING,M,Other,19.9975,73.7898,2020
Kolkata,ILLEGAL POSSESSION,F,Blunt Object,22.5675,88.37,2020
Kalyan,CYBERCRIME,F,Unknown,19.2437,73.1355,2020
Delhi,CYBERCRIME,F,Other,28.66,77.23,2020
Pune,BURGLARY,F,Poison,18.5211,73.8553,2020
Nagpur,ROBBERY,F,Poison,21.1497,79.0806,2020
Mumbai,HOMICIDE,M,Poison,19.0758,72.8775,2020
Jaipur,EXTORTION,M,Unknown,26.915,75.82,2020
Mumbai,FIREARM OFFENSE,M,Firearm,19.0758,72.8775,2020
Kanpur,IDENTITY THEFT,F,Firearm,26.4725,80.3311,2020
Hyderabad,ASSAULT,M,Firearm,17.3617,78.4747,2020
Jaipur,SHOPLIFTING,F,Knife,26.915,75.82,2020
Chennai,EXTORTION,F,Firearm,13.0825,80.275,2020
Nashik,ASSAULT,F,Unknown,19.9975,73.7898,2020
Visakhapatnam,ILLEGAL POSSESSION,F,Blunt Object,17.6939,83.2922,2020
Faridabad,FIREARM OFFENSE,F,Knife,28.4089,77.3178,2020
Indore,DOMESTIC VIOLENCE,F,Poison,22.7196,75.8577,2020
Kolkata,FIREARM OFFENSE,M,Unknown,22.5675,88.37,2020
Bhopal,TRAFFIC VIOLATION,M,Blunt Object,23.2547,77.4029,2020
Ahmedabad,DRUG OFFENSE,F,Knife,23.0219,72.5797,2020
Surat,TRAFFIC VIOLATION,F,Firearm,21.205,72.84,2020
Hyderabad,SEXUAL ASSAULT,M,Unknown,17.3617,78.4747,2020
Bhopal,SEXUAL ASSAULT,M,Explosives,23.2547,77.4029,2020
Mumbai,DOMESTIC VIOLENCE,F,Blunt Object,19.0758,72.8775,2020
Surat,COUNTERFEITING,M,Other,21.205,72.84,2020
Pune,COUNTERFEITING,F,Knife,18.5211,73.8553,2020
Mumbai,COUNTERFEITING,F,Blunt Object,19.0758,72.8775,2020
Ghaziabad,ILLEGAL POSSESSION,M,Unknown,28.6667,77.4167,2020
Delhi,PUBLIC INTOXICATION,M,Firearm,28.66,77.23,2020
Pune,FRAUD,F,Unknown,18.5211,73.8553,2020
Pune,SHOPLIFTING,F,Knife,18.5211,73.8553,2020
Kolkata,VANDALISM,F,Poison,22.5675,88.37,2020
Mumbai,FIREARM OFFENSE,F,Other,19.0758,72.8775,2020
Jaipur,KIDNAPPING,M,Blunt Object,26.915,75.82,2020
Varanasi,VANDALISM,F,Firearm,25.3176,82.9739,2020
Mumbai,FIREARM OFFENSE,M,Knife,19.0758,72.8775,2020
Hyderabad,COUNTERFEITING,M,Other,17.3617,78.4747,2020
Mumbai,SEXUAL ASSAULT,M,Firearm,19.0758,72.8775,2020
Lucknow,EXTORTION,F,Knife,26.847,80.947,2020
Bangalore,CYBERCRIME,F,Other,12.9791,77.5913,2020
Bangalore,ARSON,F,Explosives,12.9791,77.5913,2020
Patna,CYBERCRIME,F,Poison,25.61,85.1414,2020
Pune,DOMESTIC VIOLENCE,F,Explosives,18.5211,73.8553,2020
Bangalore,ASSAULT,F,Blunt Object,12.9791,77.5913,2020
Delhi,FIREARM OFFENSE,F,Blunt Object,28.66,77.23,2020
Hyderabad,BURGLARY,F,Unknown,17.3617,78.4747,2020
Delhi,ASSAULT,M,Firearm,28.66,77.23,2020
Faridabad,COUNTERFEITING,F,Other,28.4089,77.3178,2020
Indore,DOMESTIC VIOLENCE,M,Firearm,22.7196,75.8577,2020
Ahmedabad,DOMESTIC VIOLENCE,F,Blunt Object,23.0219,72.5797,2020
Pune,TRAFFIC VIOLATION,M,Knife,18.5211,73.8553,2020
Bangalore,DOMESTIC VIOLENCE,F,Explosives,12.9791,77.5913,2020
Indore,HOMICIDE,M,Poison,22.7196,75.8577,2020
Agra,SHOPLIFTING,F,Poison,27.1767,78.0081,2020
Delhi,EXTORTION,F,Knife,28.66,77.23,2020
Mumbai,FIREARM OFFENSE,F,Blunt Object,19.0758,72.8775,2020
Chennai,CYBERCRIME,F,Blunt Object,13.0825,80.275,2020
Patna,SEXUAL ASSAULT,F,Blunt Object,25.61,85.1414,2020
Bangalore,CYBERCRIME,M,Explosives,12.9791,77.5913,2020
Meerut,DRUG OFFENSE,F,Knife,28.9845,77.7064,2020
Delhi,FRAUD,M,Firearm,28.66,77.23,2020
Chennai,ILLEGAL POSSESSION,F,Firearm,13.0825,80.275,2020
Delhi,COUNTERFEITING,F,Poison,28.66,77.23,2020
Lucknow,SHOPLIFTING,F,Other,26.847,80.947,2020
Visakhapatnam,ROBBERY,F,Other,17.6939,83.2922,2020
Patna,BURGLARY,M,Blunt Object,25.61,85.1414,2020
Ahmedabad,SHOPLIFTING,M,Other,23.0219,72.5797,2020
Lucknow,KIDNAPPING,F,Other,26.847,80.947,2020
Nagpur,HOMICIDE,M,Explosives,21.1497,79.0806,2020
Hyderabad,KIDNAPPING,M,Unknown,17.3617,78.4747,2020
Ahmedabad,PUBLIC INTOXICATION,F,Knife,23.0219,72.5797,2020
Kolkata,BURGLARY,F,Poison,22.5675,88.37,2020
Mumbai,CYBERCRIME,F,Firearm,19.0758,72.8775,2020
Ahmedabad,CYBERCRIME,F,Other,23.0219,72.5797,2020
Hyderabad,CYBERCRIME,F,Other,17.3617,78.4747,2020
Ludhiana,ILLEGAL POSSESSION,F,Firearm,30.912,75.8538,2020
Delhi,SEXUAL ASSAULT,F,Poison,28.66,77.23,2020
Ghaziabad,BURGLARY,F,Blunt Object,28.6667,77.4167,2020
Delhi,PUBLIC INTOXICATION,F,Other,28.66,77.23,2020
Pune,DOMESTIC VIOLENCE,F,Poison,18.5211,73.8553,2020
Bangalore,ASSAULT,F,Firearm,12.9791,77.5913,2020
Agra,ASSAULT,F,Firearm,27.1767,78.0081,2020
Bhopal,EXTORTION,M,Unknown,23.2547,77.4029,2020
Kanpur,VANDALISM,M,Poison,26.4725,80.3311,2020
Jaipur,SHOPLIFTING,F,Other,26.915,75.82,2020
Mumbai,ASSAULT,F,Poison,19.0758,72.8775,2020
Bangalore,PUBLIC INTOXICATION,F,Poison,12.9791,77.5913,2020
Lucknow,DRUG OFFENSE,F,Poison,26.847,80.947,2020
Mumbai,SEXUAL ASSAULT,M,Firearm,19.0758,72.8775,2020
Bangalore,SEXUAL ASSAULT,F,Other,12.9791,77.5913,2020
Hyderabad,ILLEGAL POSSESSION,F,Knife,17.3617,78.4747,2020
Surat,FIREARM OFFENSE,F,Firearm,21.205,72.84,2020
Delhi,EXTORTION,F,Unknown,28.66,77.23,2020
Kolkata,DOMESTIC VIOLENCE,F,Blunt Object,22.5675,88.37,2020
Mumbai,ARSON,M,Poison,19.0758,72.8775,2020
Pune,ARSON,F,Explosives,18.5211,73.8553,2020
Mumbai,KIDNAPPING,M,Firearm,19.0758,72.8775,2020
Mumbai,FRAUD,F,Other,19.0758,72.8775,2020
Bangalore,ARSON,F,Explosives,12.9791,77.5913,2020
Hyderabad,ROBBERY,F,Unknown,17.3617,78.4747,2020
Jaipur,VANDALISM,F,Poison,26.915,75.82,2020
Mumbai,IDENTITY THEFT,F,Firearm,19.0758,72.8775,2020
Mumbai,KIDNAPPING,F,Blunt Object,19.0758,72.8775,2020
Ahmedabad,BURGLARY,F,Unknown,23.0219,72.5797,2020
Surat,BURGLARY,M,Explosives,21.205,72.84,2020
Kolkata,ARSON,F,Explosives,22.5675,88.37,2020
Lucknow,ARSON,M,Poison,26.847,80.947,2020
Kalyan,KIDNAPPING,F,Poison,19.2437,73.1355,2020
Kolkata,ARSON,M,Poison,22.5675,88.37,2020
Hyderabad,ARSON,F,Knife,17.3617,78.4747,2020
Surat,EXTORTION,F,Blunt Object,21.205,72.84,2020
Ahmedabad,COUNTERFEITING,F,Unknown,23.0219,72.5797,2020
Kolkata,BURGLARY,F,Explosives,22.5675,88.37,2020
Mumbai,SEXUAL ASSAULT,F,Poison,19.0758,72.8775,2020
Nagpur,COUNTERFEITING,F,Explosives,21.1497,79.0806,2020
Ahmedabad,EXTORTION,M,Firearm,23.0219,72.5797,2020
Nagpur,DOMESTIC VIOLENCE,M,Blunt Object,21.1497,79.0806,2020
Bangalore,EXTORTION,F,Knife,12.9791,77.5913,2020
Mumbai,FIREARM OFFENSE,M,Poison,19.0758,72.8775,2020
Ahmedabad,HOMICIDE,F,Knife,23.0219,72.5797,2020
Bangalore,ASSAULT,F,Unknown,12.9791,77.5913,2020
Ahmedabad,SHOPLIFTING,F,Other,23.0219,72.5797,2020
Bangalore,SHOPLIFTING,F,Explosives,12.9791,77.5913,2020
Srinagar,EXTORTION,F,Knife,34.0837,74.7974,2020
Bhopal,FRAUD,F,Other,23.2547,77.4029,2020
Pune,EXTORTION,F,Other,18.5211,73.8553,2020
Nagpur,IDENTITY THEFT,F,Unknown,21.1497,79.0806,2020
Mumbai,CYBERCRIME,F,Other,19.0758,72.8775,2020
Hyderabad,BURGLARY,F,Poison,17.3617,78.4747,2020
Pune,FIREARM OFFENSE,F,Firearm,18.5211,73.8553,2020
Delhi,EXTORTION,M,Explosives,28.66,77.23,2020
Kolkata,IDENTITY THEFT,F,Unknown,22.5675,88.37,2020
Patna,SHOPLIFTING,F,Other,25.61,85.1414,2020
Thane,TRAFFIC VIOLATION,F,Other,19.2183,72.9781,2020
Visakhapatnam,HOMICIDE,F,Unknown,17.6939,83.2922,2020
Chennai,BURGLARY,F,Other,13.0825,80.275,2020
Bhopal,VEHICLE - STOLEN,F,Knife,23.2547,77.4029,2020
Bangalore,FIREARM OFFENSE,M,Other,12.9791,77.5913,2020
Ahmedabad,EXTORTION,M,Poison,23.0219,72.5797,2020
Pune,VEHICLE - STOLEN,F,Other,18.5211,73.8553,2020
Kanpur,ROBBERY,M,Knife,26.4725,80.3311,2020
Mumbai,HOMICIDE,F,Explosives,19.0758,72.8775,2020
Hyderabad,DRUG OFFENSE,F,Unknown,17.3617,78.4747,2020
Ahmedabad,EXTORTION,M,Firearm,23.0219,72.5797,2020
Mumbai,IDENTITY THEFT,F,Explosives,19.0758,72.8775,2020
Rajkot,ILLEGAL POSSESSION,M,Knife,22.2969,70.7984,2020
Hyderabad,IDENTITY THEFT,M,Other,17.3617,78.4747,2020
Kanpur,EXTORTION,F,Other,26.4725,80.3311,2020
Bangalore,SHOPLIFTING,F,Other,12.9791,77.5913,2020
Faridabad,CYBERCRIME,F,Other,28.4089,77.3178,2020
Hyderabad,ILLEGAL POSSESSION,F,Explosives,17.3617,78.4747,2020
Delhi,VANDALISM,F,Explosives,28.66,77.23,2020
Chennai,ASSAULT,F,Other,13.0825,80.275,2020
Kanpur,COUNTERFEITING,F,Poison,26.4725,80.3311,2020
Mumbai,SEXUAL ASSAULT,F,Unknown,19.0758,72.8775,2020
Kolkata,SHOPLIFTING,M,Explosives,22.5675,88.37,2020
Delhi,HOMICIDE,F,Poison,28.66,77.23,2020
Thane,VEHICLE - STOLEN,F,Explosives,19.2183,72.9781,2020
Mumbai,VEHICLE - STOLEN,F,Other,19.0758,72.8775,2020
Bangalore,BURGLARY,M,Poison,12.9791,77.5913,2020
Bangalore,PUBLIC INTOXICATION,M,Firearm,12.9791,77.5913,2020
Bangalore,EXTORTION,F,Other,12.9791,77.5913,2020
Patna,ARSON,F,Blunt Object,25.61,85.1414,2020
Ahmedabad,VANDALISM,F,Poison,23.0219,72.5797,2020
Mumbai,KIDNAPPING,F,Other,19.0758,72.8775,2020
Patna,TRAFFIC VIOLATION,M,Other,25.61,85.1414,2020
Delhi,ROBBERY,F,Other,28.66,77.23,2020
Hyderabad,PUBLIC INTOXICATION,F,Unknown,17.3617,78.4747,2020
Ahmedabad,BURGLARY,F,Unknown,23.0219,72.5797,2020
Hyderabad,KIDNAPPING,F,Blunt Object,17.3617,78.4747,2020
Srinagar,ASSAULT,M,Knife,34.0837,74.7974,2020
Agra,DOMESTIC VIOLENCE,F,Firearm,27.1767,78.0081,2020
Hyderabad,HOMICIDE,F,Knife,17.3617,78.4747,2020
Hyderabad,VEHICLE - STOLEN,F,Unknown,17.3617,78.4747,2020
Kolkata,VEHICLE - STOLEN,F,Explosives,22.5675,88.37,2020
Mumbai,CYBERCRIME,F,Blunt Object,19.0758,72.8775,2020
Hyderabad,VEHICLE - STOLEN,F,Poison,17.3617,78.4747,2020
Jaipur,KIDNAPPING,F,Knife,26.915,75.82,2020
Jaipur,ARSON,F,Poison,26.915,75.82,2020
Jaipur,VEHICLE - STOLEN,F,Poison,26.915,75.82,2020
Vasai,FIREARM OFFENSE,M,Unknown,19.3931,72.8617,2020
Pune,KIDNAPPING,F,Unknown,18.5211,73.8553,2020
Jaipur,ASSAULT,F,Explosives,26.915,75.82,2020
Hyderabad,COUNTERFEITING,M,Unknown,17.3617,78.4747,2020
Nagpur,PUBLIC INTOXICATION,M,Unknown,21.1497,79.0806,2020
Bhopal,PUBLIC INTOXICATION,F,Firearm,23.2547,77.4029,2020
Bangalore,CYBERCRIME,F,Knife,12.9791,77.5913,2020
Mumbai,IDENTITY THEFT,F,Unknown,19.0758,72.8775,2020
Surat,TRAFFIC VIOLATION,F,Firearm,21.205,72.84,2020
Pune,IDENTITY THEFT,F,Blunt Object,18.5211,73.8553,2020
Mumbai,EXTORTION,F,Poison,19.0758,72.8775,2020
Hyderabad,ROBBERY,F,Firearm,17.3617,78.4747,2020
Varanasi,KIDNAPPING,F,Knife,25.3176,82.9739,2020
Delhi,VANDALISM,M,Unknown,28.66,77.23,2020
Kolkata,FRAUD,F,Blunt Object,22.5675,88.37,2020
Hyderabad,DOMESTIC VIOLENCE,F,Poison,17.3617,78.4747,2020
Chennai,ROBBERY,F,Unknown,13.0825,80.275,2020
Delhi,ASSAULT,F,Knife,28.66,77.23,2020
Jaipur,KIDNAPPING,F,Firearm,26.915,75.82,2020
Visakhapatnam,KIDNAPPING,M,Blunt Object,17.6939,83.2922,2020
Kolkata,IDENTITY THEFT,M,Unknown,22.5675,88.37,2020
Mumbai,ARSON,F,Explosives,19.0758,72.8775,2020
Mumbai,ASSAULT,F,Poison,19.0758,72.8775,2020
Surat,BURGLARY,F,Blunt Object,21.205,72.84,2020
Visakhapatnam,HOMICIDE,F,Firearm,17.6939,83.2922,2020
Faridabad,DRUG OFFENSE,F,Firearm,28.4089,77.3178,2020
Delhi,DOMESTIC VIOLENCE,F,Firearm,28.66,77.23,2020
Hyderabad,FRAUD,F,Knife,17.3617,78.4747,2020
Delhi,DOMESTIC VIOLENCE,F,Blunt Object,28.66,77.23,2020
Jaipur,PUBLIC INTOXICATION,F,Other,26.915,75.82,2020
Bhopal,ILLEGAL POSSESSION,F,Knife,23.2547,77.4029,2020
Delhi,CYBERCRIME,F,Firearm,28.66,77.23,2020
Bangalore,ASSAULT,F,Explosives,12.9791,77.5913,2020
Bangalore,PUBLIC INTOXICATION,F,Knife,12.9791,77.5913,2020
Hyderabad,DOMESTIC VIOLENCE,F,Poison,17.3617,78.4747,2020
Thane,ARSON,F,Other,19.2183,72.9781,2020
Agra,FIREARM OFFENSE,M,Firearm,27.1767,78.0081,2020
Chennai,ILLEGAL POSSESSION,F,Unknown,13.0825,80.275,2020
Hyderabad,SEXUAL ASSAULT,F,Firearm,17.3617,78.4747,2020
Delhi,FIREARM OFFENSE,M,Firearm,28.66,77.23,2020
Hyderabad,ILLEGAL POSSESSION,F,Other,17.3617,78.4747,2020
Bangalore,DOMESTIC VIOLENCE,F,Blunt Object,12.9791,77.5913,2020
Chennai,ASSAULT,M,Poison,13.0825,80.275,2020
Thane,SEXUAL ASSAULT,F,Explosives,19.2183,72.9781,2020
Ludhiana,SHOPLIFTING,M,Poison,30.912,75.8538,2020
Surat,VANDALISM,F,Blunt Object,21.205,72.84,2020
Ahmedabad,ILLEGAL POSSESSION,F,Blunt Object,23.0219,72.5797,2020
Mumbai,SEXUAL ASSAULT,M,Unknown,19.0758,72.8775,2020
Delhi,VEHICLE - STOLEN,F,Knife,28.66,77.23,2020
Surat,DOMESTIC VIOLENCE,F,Firearm,21.205,72.84,2020
Mumbai,DRUG OFFENSE,F,Explosives,19.0758,72.8775,2020
Ghaziabad,CYBERCRIME,M,Knife,28.6667,77.4167,2020
Surat,FIREARM OFFENSE,F,Unknown,21.205,72.84,2020
Nagpur,COUNTERFEITING,F,Firearm,21.1497,79.0806,2020
Indore,BURGLARY,F,Unknown,22.7196,75.8577,2020
Chennai,TRAFFIC VIOLATION,F,Poison,13.0825,80.275,2020
